2025-04-19 21:54:14,401 - INFO - {'windowsizes': [120, 60], 'p_values': [0.12751252488798315, 0.4105036039895744], 'cointegration_vectors': [(8.99526199752516, 19.882825338989658), (12.006453580739132, 15.837417941850127)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.9157799030369387, -2.188476605077804], 'adf_pvalues': [0.04354354090158643, 0.21045433644158246], 'residual_std': [1.566286139539351, 1.4339302382514123]}
2025-04-19 21:54:14,416 - INFO - {'windowsizes': [120, 60], 'p_values': [0.3771463462356292, 0.19131425822884762], 'cointegration_vectors': [(-0.3357934650973783, 29.001426910953803), (0.29618635653571107, 8.821892123670326)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.2846622980403963, -2.6954970070201973], 'adf_pvalues': [0.17696241031998872, 0.07482073015431535], 'residual_std': [2.6743747320136655, 0.9310712801019777]}
2025-04-19 21:54:14,433 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5751430541610261, 0.10248686716367011], 'cointegration_vectors': [(0.3970319679130201, -9.525851234979266), (0.17931992182103312, 24.89683329283756)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.89307706991968, -3.007962740739047], 'adf_pvalues': [0.33532485147803076, 0.034157442203652924], 'residual_std': [4.212842815782406, 1.8995354752398015]}
2025-04-19 21:54:14,441 - INFO - {'windowsizes': [120, 60], 'p_values': [0.2835380734546047, 0.32971274019992647], 'cointegration_vectors': [(1.7578437872815411, 79.4340260968148), (2.852074792210519, 37.94052292434232)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.4702573130011776, -2.4378905931567463], 'adf_pvalues': [0.12287975396090345, 0.13132633542203997], 'residual_std': [5.548762042319584, 4.769964928746361]}
2025-04-19 21:54:14,471 - INFO - {'windowsizes': [120, 60], 'p_values': [0.49011772788323776, 0.19448117627937517], 'cointegration_vectors': [(0.3602698632576571, -16.566331354526312), (0.24781356425927986, 1.8070174123357032)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.2773919322746743, -2.6910432518960157], 'adf_pvalues': [0.6394510267127971, 0.07560104320388479], 'residual_std': [3.40896173791958, 1.626760873960455]}
2025-04-19 21:54:14,491 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6387629287750392, 0.6352817384730731], 'cointegration_vectors': [(0.5780666318238938, 5.015954013770327), (0.8955310300096623, -3.0903838021096766)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.7680839706300173, -1.7758745981816602], 'adf_pvalues': [0.39641823557732025, 0.3925033433261533], 'residual_std': [1.2419804369557577, 1.0626579722910652]}
2025-04-19 21:54:14,522 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6119402777194795, 0.5934841530515744], 'cointegration_vectors': [(0.12910857435226822, 0.6701227211655563), (0.1708630582129456, -5.603965408026182)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8214551520573419, -1.8537924060847435], 'adf_pvalues': [0.3698630259707367, 0.3541008223603977], 'residual_std': [1.1430619702031268, 1.030281953173607]}
2025-04-19 21:54:14,554 - INFO - {'windowsizes': [120, 60], 'p_values': [0.3556423564961694, 0.12286083027316302], 'cointegration_vectors': [(0.29016894572561563, 10.895797867674816), (0.39575591054115383, 7.7683138621271555)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.3203295229742102, -2.9227412651382276], 'adf_pvalues': [0.16549509693793013, 0.042766689496055645], 'residual_std': [1.150439899991969, 0.8913758812081624]}
2025-04-19 21:54:14,585 - INFO - {'windowsizes': [120, 60], 'p_values': [0.5804661446128685, 0.23737373685633656], 'cointegration_vectors': [(6.1336769910035125, 11.18912085191173), (13.731016111704035, -0.6909267790690835)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8828450531308578, -2.576049442330891], 'adf_pvalues': [0.3401738717555882, 0.09804908128494355], 'residual_std': [1.4972105137189473, 0.994987661108243]}
2025-04-19 21:54:14,601 - INFO - {'windowsizes': [120, 60], 'p_values': [0.06847165937689352, 0.23025777240582374], 'cointegration_vectors': [(4.357965176953467, 37.11613445788096), (4.842967124899905, 25.365066592399952)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-3.19502464501648, -2.593192325064971], 'adf_pvalues': [0.020274484626232093, 0.09441245422340838], 'residual_std': [4.896366775497835, 5.389858115395621]}
